last_name,first_name,street,street_number,occupation,section,honorific,additional_notes
Hofstetter,A. B.,Stalden,36,Wwe. d. Bäckers,,,
Iseli,M.,Postgasse,46,,,,Witwe
Lanz,Fr.,Weissensteinstrasse,45,Bäckermeister,,,
Liecliti,F.,Schifflaube,30,Gementer,Matte,,
Morgenthaler,Gottl.,Rodtmattweg,54,Privatier,Wyler,,
Miitzenberg,M.,Lorrainestr.,4,Damenschneiderin,,Frau,
Otz,,Brunngasse,28,Spezereihandlg.,,Frau,
Zaugg,El.,Murtenstrasse,52,"Milch-, Anken- und Käsehandlung",Linde,Frau,
Bläsi-Kummer,Felix,Gesellschaftsstrasse,40,Kondukteur der S. C. B.,Länggasse,,
Blatt,Emil,Neuengasse,18,Postcommis,,,
Blatter,D.,Burgernzielweg,27,Schneider,Schosshalde,,
Blatter,Elisabeth,Marktgasse,6,Haushälterin,,,
Blatter,Fr.,Helvetiastrasse,19,Hauswart d. Oberpostdirektion,Kirchenfeld,,
Blatter,Fr.,Brunnhofweg,20,Postcommis,Mattenhof,,
Blatter,Melch.,Bubenbergstrasse,25,Kaufmann,Kirchenfeld,,
Blatter,Samuel,Seidenweg,23,Schneider,,,
Blatter,Willi,Jägerweg,12,Postcommis,Breitenrain,,
Ziegler,Soph.,Bubenbergstrasse,25,,Kirchenfeld,,Wwe.
Rosalie,,Schwarzthorstrasse,59,Buchhalterin,,,Mattenhof
Spahr & Cie.,,Zeughausg.,24,Buchdruckerei,,,vorm. T. H. Behle
Behm-Brune,A.,,,,,,in Fa.
Beieier,,,,,,,siehe auch Beyeler
Beieier,Ad.,Brunngasse,4,Magaziner,,,
Beieier,Job.,Belpstrasse,41,Magaziner,Mattenhof,,
Bein-Hell,A. M.,Gerechtigkeitsgasse,38,,,,Wwe.
Kolesch,Alb.,Altenbergstrasse,96,,,,Witwe
Wernhardt,B.,Belpstrasse,24,Schneiderin,Mattenhof,Frau,
Beiner,Ad.,Gerbergasse,38 a,Schriftsetzer,Matte,,
Berger,Alex.,Bcundenfeldstr.,21,Koch,,,
